parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.116 6.31207e-08 5.36989e-08
-0.114 6.81754e-08 5.80056e-08
-0.112 7.36219e-08 6.26472e-08
-0.11 7.94886e-08 6.76481e-08
-0.108 8.58052e-08 7.3034e-08
-0.106 9.26033e-08 7.88323e-08
-0.104 9.99163e-08 8.50719e-08
-0.102 1.07779e-07 9.17832e-08
-0.1 1.16229e-07 9.89981e-08
-0.098 1.25304e-07 1.0675e-07
-0.096 1.35044e-07 1.15075e-07
-0.094 1.45492e-07 1.24008e-07
-0.092 1.56435e-07 1.33589e-07
-0.09 1.68806e-07 1.44591e-07
-0.088 1.81302e-07 1.55363e-07
-0.086 1.9543e-07 1.67835e-07
-0.084 2.10015e-07 1.80059e-07
-0.082 2.25609e-07 1.93259e-07
-0.08 2.42247e-07 2.07431e-07
-0.078 2.59968e-07 2.22589e-07
-0.076 2.78814e-07 2.38759e-07
-0.074 2.98825e-07 2.55972e-07
-0.072 3.20041e-07 2.74261e-07
-0.07 3.42495e-07 2.93658e-07
-0.068 3.6622e-07 3.14195e-07
-0.066 3.91241e-07 3.35901e-07
-0.064 4.17576e-07 3.58798e-07
-0.062 4.45762e-07 3.81531e-07
-0.06 4.73971e-07 4.06659e-07
-0.058 5.04366e-07 4.33675e-07
-0.056 5.36022e-07 4.61757e-07
-0.054 5.68919e-07 4.90954e-07
-0.052 6.03016e-07 5.21278e-07
-0.05 6.38252e-07 5.52718e-07
-0.048 6.7455e-07 5.85239e-07
-0.046 7.11809e-07 6.1879e-07
-0.044 7.49912e-07 6.53302e-07
-0.042 7.88722e-07 6.88692e-07
-0.04 8.28081e-07 7.24859e-07
-0.038 8.66392e-07 7.6169e-07
-0.036 9.08391e-07 8.03039e-07
-0.034 9.48018e-07 8.39599e-07
-0.032 9.87478e-07 8.76836e-07
-0.03 1.02648e-06 9.14409e-07
-0.028 1.06476e-06 9.52046e-07
-0.026 1.10202e-06 9.89504e-07
-0.024 1.13799e-06 1.02656e-06
-0.022 1.1724e-06 1.06301e-06
-0.02 1.20495e-06 1.09864e-06
-0.018 1.23539e-06 1.13325e-06
-0.016 1.26346e-06 1.16666e-06
-0.014 1.28891e-06 1.19868e-06
-0.012 1.31301e-06 1.22507e-06
-0.01 1.33029e-06 1.25324e-06
-0.008 1.34686e-06 1.28147e-06
-0.006 1.35993e-06 1.30724e-06
-0.004 1.36942e-06 1.33061e-06
-0.002 1.37527e-06 1.35161e-06
4.30211e-16 1.37744e-06 1.37023e-06
0.002 1.37591e-06 1.38644e-06
0.004 1.37072e-06 1.40024e-06
0.006 1.36191e-06 1.41163e-06
0.008 1.34957e-06 1.42061e-06
0.01 1.33383e-06 1.42723e-06
0.012 1.31483e-06 1.43151e-06
0.014 1.29277e-06 1.43352e-06
0.016 1.26783e-06 1.43333e-06
0.018 1.24025e-06 1.43103e-06
0.02 1.21028e-06 1.42671e-06
0.022 1.17816e-06 1.42047e-06
0.024 1.14416e-06 1.41244e-06
0.026 1.10856e-06 1.40273e-06
0.028 1.07163e-06 1.39146e-06
0.03 1.03364e-06 1.37878e-06
0.032 9.94845e-07 1.36481e-06
0.034 9.55514e-07 1.34968e-06
0.036 9.15885e-07 1.33352e-06
0.038 8.76187e-07 1.31646e-06
0.04 8.36635e-07 1.29863e-06
0.042 7.97423e-07 1.28016e-06
0.044 7.58731e-07 1.26114e-06
0.046 7.20715e-07 1.24171e-06
0.048 6.83517e-07 1.22196e-06
0.05 6.47255e-07 1.20198e-06
