parameters: 
starting potential, V: -0.5
end potential, V: 0.3
step potential, V: 0.002
frequency, Hz: 25
amplitude, V: 0.02
potential/V SWV_Current/A Ox_Current/A
-0.064 4.15425e-07 3.56939e-07
-0.062 4.43461e-07 3.7955e-07
-0.06 4.7152e-07 4.04543e-07
-0.058 5.01753e-07 4.31415e-07
-0.056 5.3324e-07 4.59346e-07
-0.054 5.65961e-07 4.88385e-07
-0.052 5.99875e-07 5.18546e-07
-0.05 6.34922e-07 5.49816e-07
-0.048 6.71024e-07 5.8216e-07
-0.046 7.08081e-07 6.15529e-07
-0.044 7.45978e-07 6.49852e-07
-0.042 7.84577e-07 6.85048e-07
-0.04 8.23721e-07 7.21017e-07
-0.038 8.61822e-07 7.57645e-07
-0.036 9.03591e-07 7.98766e-07
-0.034 9.42999e-07 8.35123e-07
-0.032 9.82241e-07 8.72152e-07
-0.03 1.02103e-06 9.09515e-07
-0.028 1.05909e-06 9.4694e-07
-0.026 1.09615e-06 9.84187e-07
-0.024 1.13192e-06 1.02104e-06
-0.022 1.16612e-06 1.05727e-06
-0.02 1.19849e-06 1.0927e-06
-0.018 1.22876e-06 1.12711e-06
-0.016 1.25666e-06 1.16033e-06
-0.014 1.28196e-06 1.19216e-06
-0.012 1.30592e-06 1.21839e-06
-0.01 1.32309e-06 1.2464e-06
-0.008 1.33956e-06 1.27446e-06
-0.006 1.35254e-06 1.30007e-06
-0.004 1.36197e-06 1.3233e-06
-0.002 1.36777e-06 1.34417e-06
4.30211e-16 1.36991e-06 1.36266e-06
0.002 1.36838e-06 1.37877e-06
0.004 1.3632e-06 1.39247e-06
0.006 1.35443e-06 1.40378e-06
0.008 1.34215e-06 1.4127e-06
0.01 1.32648e-06 1.41925e-06
0.012 1.30757e-06 1.42349e-06
0.014 1.28561e-06 1.42547e-06
0.016 1.2608e-06 1.42527e-06
0.018 1.23336e-06 1.42295e-06
0.02 1.20354e-06 1.41864e-06
0.022 1.17159e-06 1.41241e-06
0.024 1.13777e-06 1.40441e-06
0.026 1.10236e-06 1.39473e-06
0.028 1.06562e-06 1.38351e-06
0.03 1.02783e-06 1.37088e-06
0.032 9.89246e-07 1.35696e-06
0.034 9.50125e-07 1.34189e-06
0.036 9.10709e-07 1.32581e-06
0.038 8.71226e-07 1.30883e-06
0.04 8.31889e-07 1.29108e-06
0.042 7.92891e-07 1.27269e-06
0.044 7.5441e-07 1.25376e-06
0.046 7.16603e-07 1.23442e-06
0.048 6.79609e-07 1.21476e-06
0.05 6.43547e-07 1.19488e-06
0.052 6.08519e-07 1.17487e-06
0.054 5.74608e-07 1.15482e-06
0.056 5.41879e-07 1.13479e-06
0.058 5.10385e-07 1.11486e-06
0.06 4.80161e-07 1.09509e-06
0.062 4.5123e-07 1.07553e-06
0.064 4.23602e-07 1.05623e-06
0.066 3.97279e-07 1.03723e-06
0.068 3.72252e-07 1.01858e-06
0.07 3.48502e-07 1.00029e-06
0.072 3.26006e-07 9.82389e-07
0.074 3.04734e-07 9.64904e-07
0.076 2.84652e-07 9.47847e-07
0.078 2.65721e-07 9.31231e-07
0.08 2.47901e-07 9.15062e-07
0.082 2.31146e-07 8.99347e-07
0.084 2.15413e-07 8.84086e-07
0.086 2.00656e-07 8.69281e-07
0.088 1.86829e-07 8.54927e-07
0.09 1.73885e-07 8.41021e-07
0.092 1.61779e-07 8.27556e-07
0.094 1.50466e-07 8.14526e-07
0.096 1.39903e-07 8.01921e-07
0.098 1.30046e-07 7.89731e-07
0.1 1.20855e-07 7.77947e-07
0.102 1.12289e-07 7.66557e-07
0.104 1.04311e-07 7.55551e-07
0.106 9.68846e-08 7.44916e-07
0.108 8.99744e-08 7.3464e-07
0.11 8.35477e-08 7.24713e-07
0.112 7.7573e-08 7.1512e-07
0.114 7.20206e-08 7.05852e-07
0.116 6.68624e-08 6.96895e-07
0.118 6.2072e-08 6.88239e-07
0.12 5.76244e-08 6.79871e-07
0.122 5.34961e-08 6.7178e-07
0.124 4.96651e-08 6.63956e-07
0.126 4.61109e-08 6.56388e-07
0.128 4.2814e-08 6.49066e-07
0.13 3.97563e-08 6.41979e-07
0.132 3.6921e-08 6.35118e-07
0.134 3.42923e-08 6.28473e-07
0.136 3.18553e-08 6.22036e-07
0.138 2.95964e-08 6.15798e-07
0.14 2.75027e-08 6.09751e-07
0.142 2.55623e-08 6.03886e-07
0.144 2.3764e-08 5.98195e-07
0.146 2.20977e-08 5.92673e-07
0.148 2.05536e-08 5.87311e-07
0.15 1.91228e-08 5.82103e-07
0.152 1.77971e-08 5.77042e-07
0.154 1.65687e-08 5.72123e-07
0.156 1.54304e-08 5.67339e-07
0.158 1.43757e-08 5.62684e-07
0.16 1.33984e-08 5.58155e-07
0.162 1.24928e-08 5.53744e-07
0.164 1.16535e-08 5.49448e-07
0.166 1.08758e-08 5.45263e-07
0.168 1.01549e-08 5.41182e-07
0.17 9.48677e-09 5.37203e-07
0.172 8.86742e-09 5.33321e-07
0.174 8.29325e-09 5.29532e-07
0.176 7.76092e-09 5.25834e-07
0.178 7.2673e-09 5.22221e-07
0.18 6.80954e-09 5.18692e-07
0.182 6.38497e-09 5.15242e-07
0.184 5.99112e-09 5.11869e-07
0.186 5.62572e-09 5.08571e-07
0.188 5.28664e-09 5.05343e-07
0.19 4.97194e-09 5.02184e-07
0.192 4.67981e-09 4.99091e-07
0.194 4.40858e-09 4.96062e-07
0.196 4.15669e-09 4.93095e-07
0.198 3.92271e-09 4.90187e-07
0.2 3.70531e-09 4.87336e-07
0.202 3.50326e-09 4.84541e-07
0.204 3.31544e-09 4.81799e-07
0.206 3.14079e-09 4.79108e-07
0.208 2.97833e-09 4.76468e-07
0.21 2.82716e-09 4.73876e-07
0.212 2.68646e-09 4.7133e-07
0.214 2.55546e-09 4.6883e-07
0.216 2.43343e-09 4.66374e-07
0.218 2.31972e-09 4.6396e-07
0.22 2.21372e-09 4.61587e-07
0.222 2.11486e-09 4.59255e-07
0.224 2.02263e-09 4.56961e-07
0.226 1.93654e-09 4.54704e-07
0.228 1.85613e-09 4.52484e-07
0.23 1.78101e-09 4.50299e-07
0.232 1.71077e-09 4.48149e-07
0.234 1.64508e-09 4.46032e-07
0.236 1.58359e-09 4.43947e-07
0.238 1.52602e-09 4.41894e-07
0.24 1.47206e-09 4.39872e-07
0.242 1.42148e-09 4.3788e-07
0.244 1.37401e-09 4.35916e-07
0.246 1.32945e-09 4.33981e-07
0.248 1.28758e-09 4.32074e-07
0.25 1.24822e-09 4.30193e-07
0.252 1.21118e-09 4.28339e-07
0.254 1.1763e-09 4.2651e-07
0.256 1.14343e-09 4.24706e-07
0.258 1.11244e-09 4.22926e-07
0.26 1.08318e-09 4.2117e-07
0.262 1.05554e-09 4.19437e-07
0.264 1.02941e-09 4.17727e-07
0.266 1.00468e-09 4.16038e-07
0.268 9.81255e-10 4.14371e-07
0.27 9.5905e-10 4.12726e-07
0.272 9.37981e-10 4.11101e-07
0.274 9.1797e-10 4.09495e-07
0.276 8.98948e-10 4.0791e-07
0.278 8.80848e-10 4.06344e-07
0.28 8.63609e-10 4.04796e-07
0.282 8.47175e-10 4.03268e-07
0.284 8.31493e-10 4.01757e-07
0.286 8.16514e-10 4.00263e-07
0.288 8.02194e-10 3.98787e-07
0.29 7.8849e-10 3.97328e-07
0.292 7.75364e-10 3.95886e-07
0.294 7.62778e-10 3.94459e-07
0.296 7.507e-10 3.93049e-07
0.298 7.39099e-10 3.91654e-07
0.3 7.27944e-10 3.90275e-07
